Period,Value
Jan-1992,760
Feb-1992,518
Mar-1992,515
Apr-1992,504
May-1992,531
Jun-1992,567
Jul-1992,569
Aug-1992,860
Sep-1992,829
Oct-1992,621
Nov-1992,618
Dec-1992,1123
Jan-1993,961
Feb-1993,547
Mar-1993,580
Apr-1993,561
May-1993,590
Jun-1993,596
Jul-1993,585
Aug-1993,948
Sep-1993,871
Oct-1993,645
Nov-1993,667
Dec-1993,1227
Jan-1994,1015
Feb-1994,612
Mar-1994,611
Apr-1994,588
May-1994,659
Jun-1994,698
Jul-1994,655
Aug-1994,1114
Sep-1994,987
Oct-1994,708
Nov-1994,746
Dec-1994,1362
Jan-1995,1267
Feb-1995,696
Mar-1995,672
Apr-1995,666
May-1995,761
Jun-1995,781
Jul-1995,757
Aug-1995,1208
Sep-1995,1066
Oct-1995,723
Nov-1995,824
Dec-1995,1421
Jan-1996,1329
Feb-1996,734
Mar-1996,719
Apr-1996,727
May-1996,826
Jun-1996,811
Jul-1996,761
Aug-1996,1318
Sep-1996,1009
Oct-1996,873
Nov-1996,880
Dec-1996,1553
Jan-1997,1513
Feb-1997,801
Mar-1997,789
Apr-1997,782
May-1997,868
Jun-1997,851
Jul-1997,805
Aug-1997,1263
Sep-1997,1124
Oct-1997,897
Nov-1997,965
Dec-1997,1717
Jan-1998,1422
Feb-1998,896
Mar-1998,858
Apr-1998,829
May-1998,893
Jun-1998,913
Jul-1998,858
Aug-1998,1348
Sep-1998,1213
Oct-1998,929
Nov-1998,964
Dec-1998,1799
Jan-1999,1474
Feb-1999,963
Mar-1999,951
Apr-1999,909
May-1999,950
Jun-1999,1003
Jul-1999,997
Aug-1999,1350
Sep-1999,1208
Oct-1999,993
Nov-1999,1061
Dec-1999,1944
Jan-2000,1468
Feb-2000,1064
Mar-2000,1006
Apr-2000,952
May-2000,1077
Jun-2000,1094
Jul-2000,1022
Aug-2000,1555
Sep-2000,1371
Oct-2000,987
Nov-2000,1071
Dec-2000,1844
Jan-2001,1546
Feb-2001,1045
Mar-2001,1037
Apr-2001,912
May-2001,1044
Jun-2001,1052
Jul-2001,982
Aug-2001,1776
Sep-2001,1372
Oct-2001,991
Nov-2001,1071
Dec-2001,1910
Jan-2002,1925
Feb-2002,974
Mar-2002,982
Apr-2002,941
May-2002,1087
Jun-2002,1019
Jul-2002,1011
Aug-2002,1752
Sep-2002,1455
Oct-2002,975
Nov-2002,1036
Dec-2002,1904
Jan-2003,2009
Feb-2003,967
Mar-2003,904
Apr-2003,951
May-2003,1081
Jun-2003,1153
Jul-2003,1102
Aug-2003,2089
Sep-2003,1537
Oct-2003,1022
Nov-2003,1013
Dec-2003,2018
Jan-2004,2097
Feb-2004,1084
Mar-2004,1049
Apr-2004,1001
May-2004,1087
Jun-2004,1179
Jul-2004,1145
Aug-2004,2074
Sep-2004,1527
Oct-2004,1044
Nov-2004,1065
Dec-2004,2149
Jan-2005,2028
Feb-2005,1060
Mar-2005,1075
Apr-2005,975
May-2005,1094
Jun-2005,1127
Jul-2005,1187
Aug-2005,2168
Sep-2005,1519
Oct-2005,1040
Nov-2005,1125
Dec-2005,2209
Jan-2006,2177
Feb-2006,1075
Mar-2006,1067
Apr-2006,966
May-2006,1150
Jun-2006,1212
Jul-2006,1110
Aug-2006,2095
Sep-2006,1521
Oct-2006,1030
Nov-2006,1116
Dec-2006,2085
Jan-2007,2170
Feb-2007,1015
Mar-2007,1005
Apr-2007,908
May-2007,1107
Jun-2007,1134
Jul-2007,1193
Aug-2007,2273
Sep-2007,1540
Oct-2007,1103
Nov-2007,1199
Dec-2007,2128
Jan-2008,2249
Feb-2008,1131
Mar-2008,1004
Apr-2008,981
May-2008,1132
Jun-2008,1049
Jul-2008,1096
Aug-2008,2370
Sep-2008,1436
Oct-2008,1000
Nov-2008,1009
Dec-2008,1960
Jan-2009,2137
Feb-2009,948
Mar-2009,924
Apr-2009,893
May-2009,1028
Jun-2009,1016
Jul-2009,1013
Aug-2009,2244
Sep-2009,1485
Oct-2009,938
Nov-2009,943
Dec-2009,1867
Jan-2010,2101
Feb-2010,927
Mar-2010,926
Apr-2010,839
May-2010,993
Jun-2010,997
Jul-2010,979
Aug-2010,2085
Sep-2010,1367
Oct-2010,883
Nov-2010,953
Dec-2010,1831
Jan-2011,1901
Feb-2011,936
Mar-2011,858
Apr-2011,777
May-2011,910
Jun-2011,877
Jul-2011,840
Aug-2011,2081
Sep-2011,1295
Oct-2011,728
Nov-2011,773
Dec-2011,1358
Jan-2012,1665
Feb-2012,796
Mar-2012,733
Apr-2012,719
May-2012,860
Jun-2012,812
Jul-2012,759
Aug-2012,1774
Sep-2012,1060
Oct-2012,692
Nov-2012,728
Dec-2012,1271
Jan-2013,1600
Feb-2013,714
Mar-2013,680
Apr-2013,640
May-2013,790
Jun-2013,697
Jul-2013,679
Aug-2013,1510
Sep-2013,1066
Oct-2013,693
Nov-2013,715
Dec-2013,1275
Jan-2014,1426
Feb-2014,699
Mar-2014,655
Apr-2014,654
May-2014,759
Jun-2014,671
Jul-2014,675
Aug-2014,1631
Sep-2014,1026
Oct-2014,698
Nov-2014,700
Dec-2014,1283
Jan-2015,1431
Feb-2015,661
Mar-2015,631
Apr-2015,626
May-2015,722
Jun-2015,655
Jul-2015,664
Aug-2015,1485
Sep-2015,1018
Oct-2015,686
Nov-2015,691
Dec-2015,1257
Jan-2016,1359
Feb-2016,654
Mar-2016,648
Apr-2016,639
May-2016,705
Jun-2016,645
Jul-2016,623
Aug-2016,1430
Sep-2016,993
Oct-2016,661
Nov-2016,690
Dec-2016,1200
Jan-2017,1333
Feb-2017,653
Mar-2017,671
Apr-2017,693
May-2017,745
Jun-2017,666
Jul-2017,629
Aug-2017,1331
Sep-2017,943
Oct-2017,629
Nov-2017,636
Dec-2017,1068
Jan-2018,1166
Feb-2018,611
Mar-2018,628
Apr-2018,601
May-2018,665
Jun-2018,608
Jul-2018,581
Aug-2018,1177
Sep-2018,834
Oct-2018,614
Nov-2018,639
Dec-2018,1080
Jan-2019,972
Feb-2019,553
Mar-2019,571
Apr-2019,615
May-2019,659
Jun-2019,581
Jul-2019,559
Aug-2019,1067
Sep-2019,824
Oct-2019,613
Nov-2019,603
Dec-2019,1010
Jan-2020,931
Feb-2020,553
Mar-2020,377
Apr-2020,164
May-2020,253
Jun-2020,355
Jul-2020,399
Aug-2020,702
Sep-2020,562
Oct-2020,409
Nov-2020,444
Dec-2020,803
